,out_0,out_1,prediction,offset
0,0.0,1.0,1,1.0
1,0.0,1.0,1,2.0
2,0.0,1.0,1,3.0
3,0.0,1.0,1,4.0
4,0.0,1.0,1,5.0
5,0.0,1.0,1,6.0
6,9.167759e-18,1.0,1,7.0
7,0.0027129967,0.99728703,1,8.0
8,1.7742884e-06,0.9999982,1,9.0
9,9.093122e-10,1.0,1,10.0
10,0.0,1.0,1,11.0
11,0.0,1.0,1,12.0
12,0.0,1.0,1,13.0
13,0.0,1.0,1,14.0
14,0.0,1.0,1,15.0
15,0.0,1.0,1,16.0
16,0.0,1.0,1,17.0
17,0.0,1.0,1,18.0
18,0.0,1.0,1,19.0
19,0.0,1.0,1,20.0
20,0.0,1.0,1,21.0
21,3.9676425e-26,1.0,1,22.0
22,0.9954496,0.004550419,0,23.0
23,1.0,1.0339212e-17,0,24.0
24,1.0,6.7649997e-15,0,25.0
