,out_0,out_1,prediction,height,offset
0,1.0,0.0,0,0.19,26
1,1.0,0.0,0,0.19,25
2,1.0,0.0,0,0.19,24
3,1.0,3.1095973e-33,0,0.19,23
4,1.0,0.0,0,0.19,22
5,1.0,0.0,0,0.19,21
6,1.0,0.0,0,0.19,20
7,1.0,0.0,0,0.19,19
8,1.0,0.0,0,0.19,18
9,1.0,3.54754e-40,0,0.19,17
10,0.7795149,0.22048505,0,0.19,16
11,0.0105649205,0.98943514,1,0.19,15
12,7.198915e-05,0.999928,1,0.19,14
13,1.2380468e-12,1.0,1,0.19,13
14,0.0,1.0,1,0.19,12
15,1.0,0.0,0,0.18,26
16,1.0,0.0,0,0.18,25
17,1.0,2.357735e-28,0,0.18,24
18,1.0,8.382975e-20,0,0.18,23
19,1.0,3.958799e-33,0,0.18,22
20,1.0,0.0,0,0.18,21
21,1.0,0.0,0,0.18,20
22,1.0,0.0,0,0.18,19
23,1.0,0.0,0,0.18,18
24,1.0,1.5906943e-26,0,0.18,17
25,0.6226606,0.37733945,0,0.18,16
26,0.0054893736,0.99451065,1,0.18,15
27,9.354319e-05,0.9999064,1,0.18,14
28,1.5855539e-11,1.0,1,0.18,13
29,0.0,1.0,1,0.18,12
30,1.0,0.0,0,0.17,26
31,1.0,0.0,0,0.17,25
32,1.0,8.11476e-16,0,0.17,24
33,1.0,6.250159e-12,0,0.17,23
34,1.0,7.8386233e-22,0,0.17,22
35,1.0,0.0,0,0.17,21
36,1.0,0.0,0,0.17,20
37,1.0,1.08e-43,0,0.17,19
38,1.0,0.0,0,0.17,18
39,1.0,4.6088565e-17,0,0.17,17
40,0.45929155,0.5407084,1,0.17,16
41,0.0022611658,0.99773884,1,0.17,15
42,6.7695844e-05,0.9999323,1,0.17,14
43,1.5160348e-10,1.0,1,0.17,13
44,0.0,1.0,1,0.17,12
45,1.0,0.0,0,0.16,26
46,1.0,0.0,0,0.16,25
47,1.0,5.3130353e-09,0,0.16,24
48,0.9999999,1.7690327e-07,0,0.16,23
49,1.0,5.892185e-14,0,0.16,22
50,1.0,0.0,0,0.16,21
51,1.0,4.2853837e-33,0,0.16,20
52,1.0,9.306482e-26,0,0.16,19
53,1.0,6.255141e-39,0,0.16,18
54,1.0,4.6075786e-11,0,0.16,17
55,0.30276495,0.697235,1,0.16,16
56,0.00096316973,0.9990369,1,0.16,15
57,3.724921e-05,0.9999628,1,0.16,14
58,7.789755e-10,1.0,1,0.16,13
59,0.0,1.0,1,0.16,12
60,1.0,0.0,0,0.15,26
61,1.0,0.0,0,0.15,25
62,0.99995756,4.2488544e-05,0,0.15,24
63,0.99988043,0.00011955194,0,0.15,23
64,1.0,7.949143e-09,0,0.15,22
65,1.0,1.1611135e-38,0,0.15,21
66,1.0,4.3396008e-20,0,0.15,20
67,1.0,8.615973e-15,0,0.15,19
68,1.0,3.1762457e-24,0,0.15,18
69,0.9999994,6.025366e-07,0,0.15,17
70,0.16426857,0.8357315,1,0.15,16
71,0.00029073266,0.9997092,1,0.15,15
72,1.6187134e-05,0.9999838,1,0.15,14
73,2.5889864e-09,1.0,1,0.15,13
74,2.43e-42,1.0,1,0.15,12
75,1.0,0.0,0,0.14,26
