,out_0,out_1,prediction,distance
0,0.0,1.0,1,56.00000000000001
1,0.0,1.0,1,54.0
2,0.0,1.0,1,52.0
3,0.0,1.0,1,50.0
4,0.0,1.0,1,48.0
5,3.213589e-16,1.0,1,46.0
6,5.6518355e-28,1.0,1,44.0
7,0.0,1.0,1,42.0
8,0.0,1.0,1,40.0
9,0.0,1.0,1,38.0
10,0.0,1.0,1,36.0
11,0.0,1.0,1,34.0
12,0.0,1.0,1,32.0
13,0.0,1.0,1,30.0
14,0.0,1.0,1,28.000000000000004
15,0.0,1.0,1,26.0
16,0.0,1.0,1,24.0
17,1.5439828e-13,1.0,1,22.0
18,1.0,0.0,0,20.0
19,1.0,0.0,0,18.0
20,1.0,0.0,0,16.0
21,1.0,0.0,0,14.000000000000002
22,1.0,0.0,0,12.0
23,1.0,0.0,0,10.0
24,1.0,0.0,0,8.0
25,1.0,0.0,0,6.0
26,1.0,0.0,0,4.0
27,1.0,0.0,0,2.0
