,out_0,out_1,prediction,distance
0,0.0,1.0,1,48.0
1,0.0,1.0,1,46.0
2,1.804743e-33,1.0,1,44.0
3,0.0,1.0,1,42.0
4,2.2176e-41,1.0,1,40.0
5,3.6071033e-16,1.0,1,38.0
6,5.477398e-15,1.0,1,36.0
7,1.0514291e-33,1.0,1,34.0
8,0.0,1.0,1,32.0
9,0.0,1.0,1,30.0
10,0.0,1.0,1,28.000000000000004
11,2.43e-42,1.0,1,26.0
12,2.5889766e-09,1.0,1,24.0
13,1.6187056e-05,0.9999838,1,22.0
14,0.00029072905,0.9997092,1,20.0
15,0.16426812,0.8357319,1,18.0
16,0.9999994,6.0252455e-07,0,16.0
17,1.0,3.1761609e-24,0,14.000000000000002
18,1.0,8.615973e-15,0,12.0
19,1.0,4.3394186e-20,0,10.0
20,1.0,1.1611135e-38,0,8.0
21,1.0,7.949173e-09,0,6.0
22,0.99988043,0.00011955217,0,4.0
23,0.99995756,4.248919e-05,0,2.0
