,x,y,height,images,targets
0,49.733986,16.688156,3,ramp1-3-1558021834.1366954-62.png,1
1,-1.7448974,-15.210537,1,bumps3-1-1558012608.576117-337.png,1
2,23.269674,-15.363731,1,bumps1-1-1558009091.0436785-213.png,1
3,-60.013336,16.422312,1,bumps3-1-1558012965.5116441-297.png,0
4,9.100009,-16.051756,3,ramp1-3-1558021476.2919357-10.png,1
5,-23.623806,-11.617235,2,bumps2-2-1558010981.878023-9.png,1
6,3.211013,-9.52395,5,slope_rocks1-5-1558022157.3989315-96.png,1
7,-21.733322,-10.931391,1,bumps2-1-1558010282.1912146-213.png,1
8,-9.274494,-20.915829,3,slope_rocks1-3-1558023433.9945552-144.png,1
9,15.142677,-9.148432,4,ramp1-4-1558021430.8205893-286.png,1
10,13.1815605,-22.15954,1,bumps1-rocks1-1-1558010168.2765207-118.png,1
11,1.7181826,-8.929884,2,bumps0-2-1558007483.373304-90.png,1
12,-13.695143,-17.095219,1,bars1-1-1558017982.8231168-59.png,0
13,56.587875,33.736572,5,slope_rocks1-5-1558022238.4163942-51.png,1
14,-15.189785,-16.112585,1,holes1-1-1558629151.0178545-308.png,1
15,-41.958935,-14.504061,1,bumps3-rocks0-1-1558013335.9929507-349.png,0
16,-26.250181,-3.072157,1,bumps3-rocks1-1-1558014084.9549482-185.png,0
17,42.768867,15.251429,1,rails1-1-1558016613.534713-224.png,1
18,-19.37201,-2.0555985,1,bumps2-1-1558010744.12373-274.png,0
19,-16.981045,-19.466919,2,bumps0-2-1558007600.9917946-247.png,0
20,10.260647,-4.3033013,1,bumps2-1-1558010369.8530169-249.png,1
21,11.707558,-7.7738647,1,bumps3-rocks0-1-1558013592.3555582-265.png,1
22,-50.955536,1.8932873,1,bumps2-1-1558010503.97898-140.png,0
23,-6.9606624,-16.111286,1,holes1-1-1558628942.810526-39.png,1
24,51.65643,9.163384,4,slope_rocks1-4-1558022818.4761374-233.png,1
25,4.5748587,-13.90367,2,bumps0-rocks1-2-1558008602.9869506-97.png,1
26,-43.426582,5.8108625,1,bars3-1-1558019186.306756-109.png,0
27,-97.691666,29.357548,1,steps3-1-1558015603.384209-305.png,0
28,-34.739998,12.717855,1,bumps3-rocks0-1-1558013391.5700552-2.png,0
29,16.256895,-8.301542,1,rails3-1-1558017548.7331264-81.png,1
30,4.7798085,-18.152725,5,ramp1-5-1558020633.6852431-64.png,1
31,-1.3339068,-12.990612,3,ramp1-3-1558021957.087233-243.png,1
32,2.0459013,-10.120206,1,bumps1-1-1558008800.9848218-10.png,1
33,51.74849,22.02827,5,ramp1-5-1558020420.511831-199.png,1
34,-106.534546,31.666466,1,steps2-1-1558014875.9272685-295.png,0
35,12.949518,-20.63135,4,slope_rocks1-4-1558022533.5093534-308.png,1
36,15.328542,-2.9843228,1,bumps3-rocks0-1-1558013235.307674-36.png,1
37,19.906094,-9.187851,2,bumps0-rocks0-2-1558007893.3052416-147.png,1
38,61.33912,28.407,5,slope_rocks1-5-1558022305.168131-315.png,1
39,-34.52256,-2.7412615,1,bumps2-rocks1-1-1558011963.371383-259.png,0
40,-5.1428556,-1.9671538,1,bumps3-rocks0-1-1558013380.443026-6.png,1
41,2.3039649,-1.4013419,1,bumps1-rocks0-1-1558009539.1616423-184.png,1
42,-36.330734,-2.3016343,1,bumps2-rocks0-1-1558011540.6233854-207.png,0
43,2.7948008,-15.479847,2,ramp0-rocks1-2-1558019693.901318-283.png,1
44,47.45859,0.37507704,4,slope_rocks1-4-1558022984.918411-85.png,1
45,-46.361465,0.33225787,1,holes1-1-1558629151.0178545-151.png,0
46,-31.43609,-1.0631932,1,steps1-1-1558014580.866477-292.png,1
47,-62.96398,24.847515,1,steps1-1-1558014319.2165449-184.png,0
48,-12.015673,-21.613966,2,ramp0-rocks1-2-1558019783.6617594-34.png,1
49,58.55992,21.855291,1,bumps1-rocks0-1-1558009484.5915053-245.png,1
50,8.013565,-8.064248,3,slope_rocks1-3-1558023129.9494982-118.png,1
51,23.163105,-21.001091,2,ramp0-rocks1-2-1558019604.9271634-11.png,1
52,45.000046,-2.688616,5,slope_rocks1-5-1558022383.1753323-316.png,1
53,-12.29066,-19.280373,2,bumps0-rocks0-2-1558007625.8965755-192.png,1
54,43.128006,-10.304499,1,bumps1-rocks1-1-1558009988.8584735-68.png,1
55,-3.1485806,-0.802657,1,bumps2-rocks0-1-1558011626.608061-336.png,1
56,-27.057522,9.502106,1,steps1-1-1558014207.984388-223.png,0
57,-53.68844,27.323116,1,bumps3-rocks0-1-1558013391.5700552-334.png,0
58,15.112314,-19.358025,2,ramp0-rocks2-2-1558020098.8546152-98.png,1
59,-56.641968,11.266793,1,bumps3-rocks1-1-1558014029.2836444-277.png,0
60,-2.8006914,-14.885328,1,rails1-1-1558016592.3679514-158.png,1
61,25.640148,-8.010266,2,bumps0-rocks0-2-1558007799.327971-12.png,1
62,2.441204,-21.321087,1,rails1-1-1558015852.9876966-612.png,1
63,32.18376,-14.512308,1,bumps1-rocks0-1-1558009406.2086892-286.png,1
64,21.651848,-12.807798,1,bumps1-rocks0-1-1558009593.3844767-123.png,1
65,-10.355282,-22.579182,3,ramp1-3-1558021711.6761851-254.png,1
66,58.78228,26.417067,3,slope_rocks1-3-1558023311.55826-155.png,1
67,11.3971615,-10.904793,1,rails2-1-1558016784.6378765-52.png,1
68,-44.815,-13.4000225,1,rails3-1-1558017232.186535-191.png,1
69,-6.773449,-18.525389,3,ramp1-3-1558021722.8110652-238.png,1
70,57.25579,26.186508,4,ramp1-4-1558021213.888147-209.png,1
71,10.322109,-23.227726,2,bumps0-rocks0-2-1558007953.3451028-164.png,1
72,16.80437,-10.438435,1,bumps3-1-1558012820.3181584-151.png,1
73,-60.565773,15.401126,2,bumps2-2-1558010970.7575974-273.png,0
74,-30.264404,-15.877092,1,bars1-1-1558017800.0925455-290.png,0
75,-10.376669,-21.964724,2,bumps0-2-1558007330.3084638-128.png,1
76,57.764194,31.404951,3,ramp1-3-1558021595.703623-326.png,1
77,25.99104,-9.589389,5,slope_rocks1-5-1558022316.326316-285.png,1
78,6.0214653,-13.12277,1,bars3-1-1558018762.2713475-202.png,1
79,-66.34669,8.026609,1,bars1-1-1558017877.997997-124.png,0
80,43.83004,2.7143812,2,ramp0-rocks2-2-1558020188.445691-347.png,1
81,54.61089,18.097069,5,ramp1-5-1558020834.6366525-242.png,1
82,35.10643,13.885426,2,bumps0-rocks1-2-1558008258.306619-100.png,1
83,66.20963,33.60279,2,ramp0-rocks1-2-1558019595.8139508-126.png,1
84,-7.2108936,-19.84625,1,rails1-1-1558016382.3014803-97.png,1
85,-13.062906,66.84845,1,rails1-1-1558016305.494528-449.png,0
86,-50.029785,-0.32198215,1,rails3-1-1558017195.2597039-155.png,0
87,-24.209393,-12.981745,2,bumps0-rocks1-2-1558008229.9390144-153.png,0
88,-36.916286,6.423503,1,steps1-1-1558014308.0665708-199.png,0
89,59.396675,33.367813,3,ramp1-3-1558021745.0776732-30.png,1
90,0.09653109,-22.085697,5,ramp1-5-1558020644.8040342-224.png,1
91,54.387306,7.055231,1,rails1-1-1558016463.2363582-83.png,1
92,-19.663662,-13.190121,1,bumps3-1-1558012697.469392-252.png,0
93,-23.205982,-1.9239144,1,bumps2-rocks1-1-1558012241.7941961-19.png,0
94,-36.949455,-5.1868286,1,bumps3-rocks1-1-1558013684.0862288-17.png,0
95,8.234478,-19.19474,2,ramp0-rocks2-2-1558019840.837402-85.png,1
96,-22.111542,34.859768,1,rails2-1-1558016730.6579008-133.png,0
97,22.6892,-19.622742,4,slope_rocks1-4-1558022533.5093534-335.png,1
98,-56.240326,14.513959,1,bumps3-rocks0-1-1558013168.6260042-74.png,0
99,36.115616,-1.867269,1,rails1-1-1558016157.382537-31.png,1
100,-0.86935747,-13.147171,1,bars3-1-1558018728.9136608-46.png,1
101,-52.061733,28.531675,1,rails3-1-1558017303.7933128-226.png,0
102,0.11001238,-14.276397,4,ramp1-4-1558021037.912879-323.png,1
103,-12.446367,-15.484309,2,bumps2-2-1558010875.1957953-347.png,1
104,-63.913822,11.822212,1,bars1-1-1558018171.7462697-312.png,0
105,40.479633,9.477533,1,bumps1-rocks0-1-1558009694.6466284-5.png,1
106,-17.932888,-10.822915,1,bumps2-rocks1-1-1558012384.5910463-120.png,1
107,33.568,-11.799448,3,ramp1-3-1558021823.0101688-1.png,1
108,-2.5640974,-8.699995,1,rails2-1-1558016693.3993795-230.png,1
109,10.710632,-0.38343433,1,bumps2-1-1558010676.6674888-5.png,1
110,2.6299062,-16.08944,2,bumps0-rocks1-2-1558008196.586513-123.png,1
111,-28.8776,-12.84267,1,bumps2-rocks1-1-1558012164.0265272-70.png,0
112,4.0258193,-21.564966,2,ramp0-rocks1-2-1558019682.783302-173.png,1
113,-40.438995,6.2525415,2,bumps2-2-1558010970.7575974-212.png,0
114,-16.188742,12.777052,1,bumps3-1-1558012798.103261-45.png,1
115,30.748636,-7.5149107,2,ramp0-rocks2-2-1558020177.308913-99.png,1
116,12.766024,-5.8952208,2,bumps0-2-1558007483.373304-25.png,1
117,-59.03424,0.39681602,1,holes1-1-1558629206.661907-188.png,0
118,-82.73052,32.5299,1,rails1-1-1558016511.8723238-698.png,0
119,-51.00654,1.4085753,1,rails2-1-1558017060.235183-77.png,0
120,-11.883642,-13.137465,1,rails2-1-1558016693.3993795-186.png,1
121,24.220627,-18.090378,3,slope_rocks1-3-1558023217.0215955-329.png,1
122,-5.7345324,-6.670549,1,bumps2-1-1558010369.8530169-168.png,1
123,25.024998,-11.7621,1,rails1-1-1558015810.6584446-22.png,1
124,-71.065414,8.46644,2,bars1-2-1558018572.9147866-99.png,0
125,-25.507563,4.909699,1,steps2-1-1558015176.7030263-17.png,0
126,56.967297,10.755241,3,ramp1-3-1558021553.9998412-42.png,1
127,8.581793,-3.6178777,1,bumps3-1-1558012498.7428646-308.png,1
128,-7.8001566,-14.31721,5,slope_rocks1-5-1558022157.3989315-132.png,1
129,-54.24066,7.067196,1,bars1-1-1558017752.529279-343.png,0
130,8.580923,-21.011097,2,bumps0-rocks1-2-1558008442.0533688-107.png,1
131,26.499218,-9.958534,2,bumps0-rocks0-2-1558007743.8454242-218.png,1
132,39.58492,-11.836031,1,bumps1-rocks0-1-1558009440.1998832-245.png,1
133,-45.061844,5.8345475,1,bumps2-1-1558010721.8451703-244.png,0
134,23.931534,-16.51446,1,rails3-1-1558017173.2000642-30.png,1
135,-1.9481826,-22.228725,1,bumps2-1-1558010515.1072729-255.png,1
136,-17.718325,-9.9233265,1,bumps2-1-1558010777.4439344-85.png,0
137,13.78139,-24.992165,2,ramp0-rocks1-2-1558019328.0274196-107.png,1
138,-0.6614156,-14.11106,1,bumps3-1-1558012586.3755774-91.png,1
139,-99.20517,35.557556,2,bars1-2-1558018209.5180812-266.png,0
140,-5.455777,-19.261963,1,rails3-1-1558017493.114898-167.png,1
