,x,y,target
0,19.027136,-6.230898,1
1,77.67086,41.22989,1
2,64.31755,22.010479,1
3,10.995395,-3.3679998,1
4,-37.91538,11.12775,0
5,3.091501,-18.634438,1
6,-44.77027,4.705421,0
7,9.540764,-21.121552,1
8,24.541126,0.7999078,1
9,25.094006,10.551219,1
10,19.853577,13.596218,1
11,18.256191,-2.292666,1
12,-6.499726,-17.855043,1
13,-16.685047,-19.736326,1
14,1.3011738,-8.563791,1
15,47.619675,5.622778,1
16,4.144904,-21.658005,1
17,57.09277,6.7265463,1
18,67.56487,3.8940487,1
19,73.24481,41.134495,1
20,44.33806,5.1625047,1
21,52.3626,15.396954,1
22,8.193499,-4.106759,1
23,-6.6420813,-26.734066,1
24,17.313395,-1.4257554,1
25,10.48348,-10.45155,1
26,48.862587,-16.907927,1
27,12.81897,-11.7213545,1
28,-1.2229775,-9.1768,1
29,-33.96422,9.475166,0
30,44.564472,25.084259,1
31,8.940717,-3.1533499,1
32,72.39612,30.031023,1
33,-56.924877,-0.8786684,0
34,34.593323,6.2350492,1
35,-1.984685,-4.120993,1
36,27.537766,2.8827622,1
37,52.218056,4.6285405,1
38,-20.547207,-8.310579,1
39,21.49762,-6.7297916,1
40,7.614388,-22.485493,1
41,27.579845,6.198299,1
42,-42.14336,29.94564,0
43,89.77922,45.436157,1
44,-7.70179,-22.68052,1
45,12.751915,-14.1933565,1
46,-42.632835,12.04783,0
47,29.639313,0.19476616,1
48,-10.30234,-5.726943,0
49,28.202026,-10.310574,1
50,-103.783005,22.127377,0
51,-36.294327,-11.674789,0
52,14.01127,-24.458162,1
53,-21.014694,-19.299149,0
54,26.458271,-25.180328,1
55,41.13635,30.60201,1
56,13.179359,7.802129,1
57,-55.698746,42.691467,0
58,16.938675,-23.520035,1
59,-16.613567,-21.024605,1
60,-71.066216,32.450306,0
61,33.357777,0.22121778,1
62,-54.066875,0.8633489,0
63,18.864779,-9.895132,1
64,5.815733,-20.111965,1
65,35.182003,-16.832779,1
66,-82.819305,36.225517,0
67,-31.294632,-5.1861715,1
68,33.740826,16.658249,1
69,12.811566,-9.820805,1
70,-2.1036685,-18.064758,1
71,-29.450308,15.035583,0
72,-3.8703773,-13.510204,1
73,-16.17965,-29.00146,1
74,-32.67647,-11.132733,0
75,-9.744875,-16.814548,1
76,-37.479027,-14.432766,0
77,35.164787,27.406017,1
78,-46.39586,-3.4457831,0
79,-53.839706,27.152546,0
80,8.277325,-20.213272,1
81,-70.25639,45.38405,0
82,0.9182193,-10.503994,1
83,-42.473694,16.447948,0
84,-11.130632,-15.863131,1
85,-40.111343,14.66176,0
86,9.599727,-5.72966,1
87,-1.0906066,-20.96635,1
88,-57.33949,3.0481937,0
89,2.04369,-10.883328,1
90,-16.450848,-18.16221,1
91,11.477011,-21.403107,1
92,92.94363,44.03219,1
93,-4.0272927,-11.459016,1
94,-58.774784,14.213929,0
95,88.96221,34.371872,1
96,-57.28583,6.0833526,0
97,-11.155399,-14.1346245,1
98,0.5109161,-14.765833,1
99,46.616043,-11.215102,1
100,92.57463,43.733757,1
101,-49.073334,6.3645935,0
102,6.651305,-26.654835,1
103,80.197975,24.237354,1
104,25.581135,-14.516272,1
105,6.5193233,-11.797977,1
106,33.959915,9.453918,1
107,11.568224,-3.5384047,1
108,-2.5204139,-25.895016,1
109,31.924114,9.928804,1
110,-40.353893,16.805809,0
111,83.3452,41.209526,1
112,30.944704,-13.092928,1
113,35.50001,8.834772,1
114,-99.38791,22.493671,0
115,46.49441,-2.0294743,1
116,-15.422881,-17.380442,0
117,-58.84014,27.04751,0
118,11.724133,-15.593293,1
119,-50.560852,14.3535,0
120,9.48313,-10.719305,1
121,71.51885,54.99566,1
122,90.23747,45.415092,1
123,-49.997032,23.499323,0
124,-5.1838493,-12.90897,0
125,-12.71953,-13.32657,1
126,21.465248,-2.248131,1
127,51.078075,6.85649,1
128,5.824644,-21.34322,1
129,-46.19801,2.982246,0
130,-11.056516,-7.471233,1
131,-17.447582,-15.554606,0
132,-2.681557,-6.660697,1
133,1.85719,-11.075336,1
134,11.49994,-11.850151,1
135,2.708108,-16.145046,1
136,12.914812,-13.150307,1
137,-14.957743,-21.613628,0
138,82.76442,43.99012,1
