,Unnamed: 0,advancement,height,hm_x,hm_y,images,label,out_0,out_1,prediction
3298,272.0,0.2143095525646064,10.0,70.81415492634903,372.57236242338234,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/21-patch-3d-majavi-colormap-0.png,True,0.0044659628,0.99553406,1
17977,682.0,0.236477045257294,10.0,1519.808686510533,813.1951926258905,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/23-patch-3d-majavi-colormap-1.png,True,6.2192207e-06,0.9999938,1
28650,270.0,0.2847326767442146,10.0,1322.5921702294556,709.079361495831,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/28-patch-3d-majavi-colormap-2.png,True,0.22669438,0.7733056,1
276,276.0,0.3070624010462749,10.0,212.60412196069245,818.737011716526,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/30-patch-3d-majavi-colormap-3.png,True,0.0,1.0,1
16946,462.0,0.3083853213768061,10.0,1252.99644916453,970.3136323613544,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/30-patch-3d-majavi-colormap-4.png,True,4.319319e-09,1.0,1
14460,192.0,0.31481318853127244,10.0,665.3378224577237,623.9265083732214,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/31-patch-3d-majavi-colormap-5.png,True,0.0,1.0,1
25889,462.0,0.33916249812038096,10.0,242.80366549730937,796.2077566452967,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/33-patch-3d-majavi-colormap-6.png,True,0.0,1.0,1
32277,653.0,0.34277328156298115,10.0,97.236097624373,708.8687614082796,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/34-patch-3d-majavi-colormap-7.png,True,0.48423308,0.5157669,1
26647,414.0,0.34642629283362936,10.0,591.1826523266784,1520.6797026706927,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/34-patch-3d-majavi-colormap-8.png,True,4.582907e-33,1.0,1
231,231.0,0.3523507560317326,10.0,205.19450296499556,814.9882181950252,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/35-patch-3d-majavi-colormap-9.png,True,0.0,1.0,1
321,321.0,0.36135504748020975,10.0,216.7824112689367,825.0481773465594,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/36-patch-3d-majavi-colormap-10.png,True,0.0,1.0,1
27800,228.0,0.3739493558235787,10.0,1302.7281244337776,568.0182996083709,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/37-patch-3d-majavi-colormap-11.png,True,0.00018478563,0.9998153,1
513,513.0,0.3757467031365392,10.0,222.2206044073724,872.5941162841347,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/37-patch-3d-majavi-colormap-12.png,True,0.0,1.0,1
13523,64.0,0.3831572611734929,10.0,1482.971572924865,993.1238205943338,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/38-patch-3d-majavi-colormap-13.png,True,0.072941914,0.92705816,1
8783,792.0,0.3840157175997263,10.0,949.695499610614,866.8597117303398,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/38-patch-3d-majavi-colormap-14.png,True,1.2160451e-05,0.99998784,1
9142,344.0,0.3850155664692836,10.0,1229.5774831582335,607.2047920093471,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/38-patch-3d-majavi-colormap-15.png,True,0.0,1.0,1
11504,383.0,0.3866496546872093,10.0,1408.594423583744,997.1373497698784,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/38-patch-3d-majavi-colormap-16.png,True,1.6472613e-06,0.99999833,1
25877,450.0,0.39740710008076624,10.0,241.503133455685,792.1095915931596,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/39-patch-3d-majavi-colormap-17.png,True,0.0,1.0,1
26619,386.0,0.4022623448032436,10.0,590.1142871637647,1511.8977984557391,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/40-patch-3d-majavi-colormap-18.png,True,0.0,1.0,1
25656,229.0,0.4032355253565319,10.0,216.30943387906586,755.0182620904228,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/40-patch-3d-majavi-colormap-19.png,True,0.0,1.0,1
25833,406.0,0.40760837522524535,10.0,240.2772330285788,784.806363775161,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/40-patch-3d-majavi-colormap-20.png,True,0.0,1.0,1
27949,377.0,0.4112403829131537,10.0,1291.2265913463161,546.0597334212382,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/41-patch-3d-majavi-colormap-21.png,True,0.06318739,0.93681264,1
3105,79.0,0.4259659858950586,10.0,77.21760403832238,331.02044537243563,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/42-patch-3d-majavi-colormap-22.png,True,0.032420523,0.9675794,1
11457,336.0,0.4366406374951055,10.0,1421.4413076672076,994.0645243008506,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/43-patch-3d-majavi-colormap-23.png,True,0.0,1.0,1
20658,429.0,0.4396732586471952,10.0,535.1078710521717,1374.8606176674896,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/43-patch-3d-majavi-colormap-24.png,True,0.0,1.0,1
14518,250.0,0.4463049025864345,10.0,663.6742646337613,633.9962634584183,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/44-patch-3d-majavi-colormap-25.png,True,0.0,1.0,1
9034,236.0,0.4603475953075778,10.0,1215.0092285649325,622.7005107161639,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/46-patch-3d-majavi-colormap-26.png,True,0.00014919214,0.99985075,1
11536,415.0,0.4661602108679189,10.0,1403.8025124361009,996.2024012038487,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/46-patch-3d-majavi-colormap-27.png,True,8.855689e-09,1.0,1
16706,222.0,0.46703703665325,10.0,1184.0373925536196,975.7355396490068,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/46-patch-3d-majavi-colormap-28.png,True,0.9994136,0.00058636477,0
28946,566.0,0.4738307299792357,10.0,1296.029912065797,664.0267075602587,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/47-patch-3d-majavi-colormap-29.png,True,0.009222488,0.9907775,1
30634,628.0,0.47387626228805,10.0,492.7606976455442,438.9648005787792,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/47-patch-3d-majavi-colormap-30.png,True,0.0,1.0,1
34208,159.0,0.4762313339139382,10.0,352.91396613119264,511.57730110922967,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/47-patch-3d-majavi-colormap-31.png,True,8.821684e-28,1.0,1
26699,466.0,0.4820109267295293,10.0,596.8955449963796,1531.4247772915023,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/48-patch-3d-majavi-colormap-32.png,True,0.0,1.0,1
26927,163.0,0.4821636249020048,10.0,425.1920169726713,1461.775860515208,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/48-patch-3d-majavi-colormap-33.png,True,6.0498516e-11,1.0,1
33712,474.0,0.4873550698994473,10.0,567.1686413611834,1292.9632344580443,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/48-patch-3d-majavi-colormap-34.png,True,0.02428618,0.97571385,1
696,62.0,0.4904389249136471,10.0,208.37377294997447,582.3825412520766,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/49-patch-3d-majavi-colormap-35.png,True,7.271636e-06,0.9999927,1
26135,708.0,0.4951377551837737,10.0,251.12926812246258,858.4038463892094,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/49-patch-3d-majavi-colormap-36.png,True,2.76e-43,1.0,1
18502,400.0,0.4976972062728932,10.0,650.2986811206048,1428.1339340303437,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/49-patch-3d-majavi-colormap-37.png,True,0.0,1.0,1
1178,544.0,0.4977236827600805,10.0,333.2935398265102,562.8285945622637,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/49-patch-3d-majavi-colormap-38.png,True,0.020992989,0.979007,1
759,125.0,0.5055890187312084,10.0,224.13953295417446,580.0234629799791,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/50-patch-3d-majavi-colormap-39.png,True,1.876526e-07,0.99999976,1
16103,210.0,0.5075041244122108,10.0,113.01238189544674,806.4641423954055,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/50-patch-3d-majavi-colormap-40.png,True,9.349839e-30,1.0,1
4476,641.0,0.5098369617033541,10.0,235.06756042646282,1265.8812824130493,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/50-patch-3d-majavi-colormap-41.png,True,0.0,1.0,1
6664,178.0,0.5117487404257024,10.0,548.7272769016598,1538.798237929707,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/51-patch-3d-majavi-colormap-42.png,True,1.3095653e-15,1.0,1
11553,432.0,0.5146471982371824,10.0,1400.093372447857,995.9923292540146,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/51-patch-3d-majavi-colormap-43.png,True,7.1420354e-26,1.0,1
28440,60.0,0.5147946183891907,10.0,1309.793523040179,764.5998334076147,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/51-patch-3d-majavi-colormap-44.png,True,0.0742191,0.9257809,1
25510,83.0,0.5149867651782365,10.0,175.51127511187556,748.2382845653927,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/51-patch-3d-majavi-colormap-45.png,True,1.2811299e-21,1.0,1
16093,200.0,0.5211006805543577,10.0,117.03035885306718,803.9426864132402,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/52-patch-3d-majavi-colormap-46.png,True,0.0,1.0,1
14178,719.0,0.530210795861424,10.0,1551.4391949168287,917.2665176099706,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/53-patch-3d-majavi-colormap-47.png,True,0.0,1.0,1
23043,386.0,0.5317984663998782,10.0,152.2341391945357,1325.3459022768195,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/53-patch-3d-majavi-colormap-48.png,True,1.2662833e-11,1.0,1
18487,385.0,0.5349392956083621,10.0,649.1368650245632,1421.8435209059494,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/53-patch-3d-majavi-colormap-49.png,True,1.73348e-40,1.0,1
28536,156.0,0.5401721381710328,10.0,1317.9235438459325,740.6901364746408,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/54-patch-3d-majavi-colormap-50.png,True,0.0,1.0,1
16924,440.0,0.5477300363714219,10.0,1245.4891329875365,971.0398065515084,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/54-patch-3d-majavi-colormap-51.png,True,2.0021816e-10,1.0,1
11742,621.0,0.5606666519000972,10.0,1345.344107704416,1011.7123090552952,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/56-patch-3d-majavi-colormap-52.png,True,5.4383994e-16,1.0,1
26396,163.0,0.5608422965378571,10.0,574.9149600254673,1461.4734267603292,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/56-patch-3d-majavi-colormap-53.png,True,0.0,1.0,1
14950,682.0,0.5612102150011464,10.0,601.0863500546341,678.4132338950842,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/56-patch-3d-majavi-colormap-54.png,True,0.0,1.0,1
31712,88.0,0.5688584896333283,10.0,142.7308392283766,677.3283454713038,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/56-patch-3d-majavi-colormap-55.png,True,0.005904723,0.9940952,1
2208,764.0,0.5722153023669019,10.0,557.9023470539772,1047.7160679632702,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/57-patch-3d-majavi-colormap-56.png,True,6.000248e-39,1.0,1
17178,694.0,0.5765956665661252,10.0,1287.3225738850185,941.8030375965055,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//best/57-patch-3d-majavi-colormap-57.png,True,1.088147e-08,1.0,1
