,Unnamed: 0,advancement,height,hm_x,hm_y,images,label,out_0,out_1,prediction
29972,775.0,-0.11336422655494115,10.0,147.3357638755823,112.3980050516338,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-11-patch-3d-majavi-colormap-0.png,False,0.44632497,0.55367506,1
29978,781.0,-0.10492674480847697,10.0,148.65075058464745,113.709353537229,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-10-patch-3d-majavi-colormap-1.png,False,0.090838574,0.90916145,1
10481,96.0,-0.07544409785028237,10.0,837.0591207394142,54.67306285694409,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-7-patch-3d-majavi-colormap-2.png,False,2.1839114e-28,1.0,1
13426,751.0,-0.06928980551614321,10.0,1554.1073692227426,797.4589677152245,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-6-patch-3d-majavi-colormap-3.png,False,0.030096874,0.9699032,1
3599,573.0,-0.06581343497329184,10.0,75.58509903055534,385.9616464533738,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-6-patch-3d-majavi-colormap-4.png,False,0.083740875,0.9162591,1
3429,403.0,-0.06020913337380762,10.0,71.57394341040981,385.37550678244673,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-6-patch-3d-majavi-colormap-5.png,False,0.06061493,0.93938506,1
3515,489.0,-0.05669381095016745,10.0,72.5437713210996,384.5439962192154,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-5-patch-3d-majavi-colormap-6.png,False,0.2778842,0.7221158,1
3629,603.0,-0.05483206442142425,10.0,74.96358097083144,384.55084620240206,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-5-patch-3d-majavi-colormap-7.png,False,0.21497951,0.7850205,1
8423,432.0,-0.05441718514619938,10.0,908.8797106957403,845.9999417455583,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-5-patch-3d-majavi-colormap-8.png,False,0.0,1.0,1
3607,581.0,-0.04941194032432155,10.0,75.40003849986286,385.9664012086409,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-4-patch-3d-majavi-colormap-9.png,False,0.030735806,0.96926415,1
28350,778.0,-0.04853353083103276,10.0,1294.3767098449111,503.75874301195364,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-4-patch-3d-majavi-colormap-10.png,False,0.04875982,0.95124024,1
13321,646.0,-0.04742420134866362,10.0,1551.9220895823016,790.0568206573407,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-4-patch-3d-majavi-colormap-11.png,False,0.0411175,0.9588825,1
30149,143.0,-0.047351176283131916,10.0,483.8434008629395,380.1684788611456,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-4-patch-3d-majavi-colormap-12.png,False,0.29836562,0.70163435,1
3403,377.0,-0.04420546055615236,10.0,70.47457160878713,383.9902237763303,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-4-patch-3d-majavi-colormap-13.png,False,0.3272437,0.6727563,1
8553,562.0,-0.02488402308404602,10.0,917.1309423042294,861.9602907020062,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-2-patch-3d-majavi-colormap-14.png,False,1.1847282e-08,1.0,1
30122,116.0,-0.012843478344928078,10.0,484.0162529677442,379.60242902676697,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-1-patch-3d-majavi-colormap-15.png,False,0.4754866,0.52451336,1
3478,452.0,-0.012837581041938924,10.0,73.84199567398288,384.560887289794,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-1-patch-3d-majavi-colormap-16.png,False,0.064826556,0.93517345,1
17008,524.0,-0.010615963873865705,10.0,1272.414107098531,968.2222796581638,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/-1-patch-3d-majavi-colormap-17.png,False,0.0011779964,0.99882203,1
3666,640.0,-0.00578418083741505,10.0,76.76953853165274,385.35026583459364,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/00-patch-3d-majavi-colormap-18.png,False,0.060543165,0.9394568,1
29323,126.0,-0.004550436453128567,10.0,106.73423613097236,123.54303368754032,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/00-patch-3d-majavi-colormap-19.png,False,0.25751412,0.7424858,1
3620,594.0,-0.000646691088333963,10.0,75.91075792258077,384.4699599124253,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/00-patch-3d-majavi-colormap-20.png,False,0.37285483,0.6271452,1
13310,635.0,-0.00045474542193858075,10.0,1546.9672120599453,790.0286595983713,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/00-patch-3d-majavi-colormap-21.png,False,0.00922143,0.99077857,1
5739,53.0,4.097004122453896e-07,10.0,105.32013346760634,96.53396162580366,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/00-patch-3d-majavi-colormap-22.png,False,0.08051079,0.91948926,1
29926,729.0,0.00015540075871644382,10.0,147.1736180253547,116.02231636338115,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/00-patch-3d-majavi-colormap-23.png,False,3.5242603e-05,0.9999647,1
3714,688.0,0.005663372173122311,10.0,77.59973980587871,385.8848325346679,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/00-patch-3d-majavi-colormap-24.png,False,0.026750835,0.9732492,1
3668,642.0,0.008656163384323606,10.0,77.03788061821236,384.9719663488391,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/00-patch-3d-majavi-colormap-25.png,False,0.12364348,0.8763565,1
3364,338.0,0.008904424465946229,10.0,70.91245191787783,382.91065514629736,/home/francesco/Documents/Master-Thesis/papers/Thesis/img/5/quarry//false_negative/00-patch-3d-majavi-colormap-26.png,False,0.25724918,0.7427508,1
